GeneFull,TranscriptID,Modified_Site_Count
gi|383087740|ref|NR_001564.2| ,NR_001564.2,9651
gi|31340617|ref|NM_006904.6| ,NM_006904.6,5830
gi|381342489|ref|NR_002728.3| ,NR_002728.3,4484
gi|21040325|ref|NM_138927.1| ,NM_138927.1,3588
gi|209413718|ref|NM_001376.4| ,NM_001376.4,3514
gi|380420343|ref|NM_031407.5| ,NM_031407.5,3452
gi|145309308|ref|NM_001039590.2| ,NM_001039590.2,3363
gi|304571971|ref|NM_022731.4| ,NM_022731.4,3112
gi|133925810|ref|NM_002270.3| ,NM_002270.3,3068
gi|188035909|ref|NM_001127322.1| ,NM_001127322.1,3017
gi|225579068|ref|NM_012426.4| ,NM_012426.4,3015
gi|115527063|ref|NM_004859.3| ,NM_004859.3,3013
gi|66346678|ref|NM_001018067.1| ,NM_001018067.1,3003
gi|24415403|ref|NM_014611.1| ,NM_014611.1,2966
gi|374429547|ref|NR_046235.1| ,NR_046235.1,2942
gi|253314435|ref|NR_027995.1| ,NR_027995.1,2886
gi|166064028|ref|NM_001113490.1| ,NM_001113490.1,2884
gi|153792693|ref|NM_016252.3| ,NM_016252.3,2877
gi|296317323|ref|NM_001184819.1| ,NM_001184819.1,2842
gi|388454195|ref|NM_016284.4| ,NM_016284.4,2813
gi|56549693|ref|NM_001008493.1| ,NM_001008493.1,2727
gi|148613855|ref|NM_001098504.1| ,NM_001098504.1,2712
gi|91208425|ref|NM_006445.3| ,NM_006445.3,2607
gi|82659108|ref|NM_020765.2| ,NM_020765.2,2562
gi|56237026|ref|NM_006546.3| ,NM_006546.3,2533
gi|223468614|ref|NM_015135.2| ,NM_015135.2,2528
gi|207113128|ref|NR_002819.2| ,NR_002819.2,2450
gi|291190786|ref|NM_015057.4| ,NM_015057.4,2436
gi|53759150|ref|NM_005063.4| ,NM_005063.4,2434
gi|223717986|ref|NM_183353.2| ,NM_183353.2,2402
gi|323510631|ref|NM_002393.4| ,NM_002393.4,2358
gi|74136882|ref|NM_031844.2| ,NM_031844.2,2337
gi|219277632|ref|NM_015092.4| ,NM_015092.4,2333
gi|301069317|ref|NM_018072.5| ,NM_018072.5,2329
gi|326937475|ref|NM_014014.4| ,NM_014014.4,2324
gi|145301634|ref|NM_177538.2| ,NM_177538.2,2311
gi|51873051|ref|NM_002271.4| ,NM_002271.4,2267
gi|289577115|ref|NM_001172705.1| ,NM_001172705.1,2239
gi|422398963|ref|NM_013417.3| ,NM_013417.3,2228
gi|338968929|ref|NM_001242891.1| ,NM_001242891.1,2228
gi|224589126|ref|NM_018126.2| ,NM_018126.2,2207
gi|158853997|ref|NM_020772.2| ,NM_020772.2,2205
gi|66933003|ref|NM_001746.3| ,NM_001746.3,2195
gi|87196350|ref|NM_001356.3| ,NM_001356.3,2190
gi|118582268|ref|NM_001078166.1| ,NM_001078166.1,2185
gi|83656775|ref|NM_001961.3| ,NM_001961.3,2171
gi|262231792|ref|NM_181672.2| ,NM_181672.2,2138
gi|169404008|ref|NM_003144.3| ,NM_003144.3,2131
gi|14790189|ref|NM_015001.2| ,NM_015001.2,2114
gi|118572612|ref|NM_016333.3| ,NM_016333.3,2112
gi|221316685|ref|NM_006391.2| ,NM_006391.2,2095
