GeneFull,TranscriptID,Length,Modified_Site_Count,Total_Modified_Reads
gi|383087740|ref|NR_001564.2| ,NR_001564.2,19296,9651,675741
gi|31340617|ref|NM_006904.6| ,NM_006904.6,13509,5830,79359
gi|381342489|ref|NR_002728.3| ,NR_002728.3,91671,4484,49446
gi|21040325|ref|NM_138927.1| ,NM_138927.1,8412,3588,62592
gi|209413718|ref|NM_001376.4| ,NM_001376.4,14361,3514,32680
gi|380420343|ref|NM_031407.5| ,NM_031407.5,14770,3452,35799
gi|145309308|ref|NM_001039590.2| ,NM_001039590.2,12401,3363,37116
gi|304571971|ref|NM_022731.4| ,NM_022731.4,6471,3112,62078
gi|133925810|ref|NM_002270.3| ,NM_002270.3,8559,3068,33640
gi|188035909|ref|NM_001127322.1| ,NM_001127322.1,11723,3017,29688
gi|225579068|ref|NM_012426.4| ,NM_012426.4,9736,3015,37301
gi|115527063|ref|NM_004859.3| ,NM_004859.3,8575,3013,42832
gi|66346678|ref|NM_001018067.1| ,NM_001018067.1,6764,3003,60511
gi|24415403|ref|NM_014611.1| ,NM_014611.1,17400,2966,24858
gi|374429547|ref|NR_046235.1| ,NR_046235.1,13357,2942,192652
gi|253314435|ref|NR_027995.1| ,NR_027995.1,37567,2886,35929
gi|166064028|ref|NM_001113490.1| ,NM_001113490.1,6945,2884,42147
gi|153792693|ref|NM_016252.3| ,NM_016252.3,15718,2877,24120
gi|296317323|ref|NM_001184819.1| ,NM_001184819.1,8690,2842,32079
gi|388454195|ref|NM_016284.4| ,NM_016284.4,8476,2813,32296
gi|56549693|ref|NM_001008493.1| ,NM_001008493.1,13172,2727,28989
gi|148613855|ref|NM_001098504.1| ,NM_001098504.1,4811,2712,65984
gi|91208425|ref|NM_006445.3| ,NM_006445.3,7311,2607,28286
gi|82659108|ref|NM_020765.2| ,NM_020765.2,15882,2562,21336
gi|56237026|ref|NM_006546.3| ,NM_006546.3,8769,2533,24506
gi|223468614|ref|NM_015135.2| ,NM_015135.2,6286,2528,34805
gi|207113128|ref|NR_002819.2| ,NR_002819.2,8708,2450,49565
gi|291190786|ref|NM_015057.4| ,NM_015057.4,15025,2436,20330
gi|53759150|ref|NM_005063.4| ,NM_005063.4,5473,2434,36917
gi|223717986|ref|NM_183353.2| ,NM_183353.2,10652,2402,24118
gi|323510631|ref|NM_002393.4| ,NM_002393.4,10090,2358,22905
gi|74136882|ref|NM_031844.2| ,NM_031844.2,6846,2337,34654
gi|219277632|ref|NM_015092.4| ,NM_015092.4,16065,2333,19351
gi|301069317|ref|NM_018072.5| ,NM_018072.5,8497,2329,29163
gi|326937475|ref|NM_014014.4| ,NM_014014.4,7230,2324,25924
gi|145301634|ref|NM_177538.2| ,NM_177538.2,10943,2311,20470
gi|51873051|ref|NM_002271.4| ,NM_002271.4,6019,2267,36355
